Cluster ID,id,name,birth_year,death_year
804,fk__p_38250,"Glaser-Lindner, Angelika von",1000,1000
805,fk__p_38258,"Neumann, Angelo",1838,1910
806,fk__p_38261,Anger ,1000,1000
807,fk__p_38262,"Angermayer, Fred Antoine",1889,1951
808,fk__p_38264,Anhauch,1000,1000
809,fk__p_38265,"Berber, Anita",1899,1928
810,fk__p_38266,"Krizmanić, Anna",1874,1946
811,fk__p_38268,"Anivanter, Theresia",1870,1000
812,fk__p_38269,"Mateju, Anna",1893,1000
813,fk__p_38270,"S., Anna",1000,1000
814,fk__p_38271,"B., Anna",1000,1000
815,fk__p_38273,"Behensky, Anna",1888,1000
816,fk__p_38274,"Berger, Anna",1000,1000
817,fk__p_38276,"Ethel, Anna",1850,1939
818,fk__p_38277,"F., Anna",1000,1000
819,fk__p_38278,"Grobecker, Anna, geb. Mejo",1829,1908
820,fk__p_38279,"Hofmann, Anna",1000,1000
821,fk__p_38280,"Höllering, Anna",1895,1987
822,fk__p_38281,"Hummel, Anna",1894,1899
823,fk__p_38282,"Hunacek, Anna",1000,1000
824,fk__p_38283,Anna Immaculata,1000,1000
825,fk__p_38284,"K., Anna",1881,1916
826,fk__p_38285,"L., Anna",1000,1000
827,fk__p_38286,"Laßman, Anna",1000,1000
828,fk__p_38287,"Leier, Anna ",1000,1000
829,fk__p_38288,"M., Anna",1000,1000
830,fk__p_38289,"Mahr, Anna",1000,1000
27,fk__p_38290,"Wedekind, Anna Pamela",1906,1986
831,fk__p_38291,"Pauer, Anna",1000,1000
832,fk__p_38292,"Pawlowa, Anna Pawlowna",1881,1931
833,fk__p_38293,"R., Anna",1000,1000
834,fk__p_38295,"Rothe, Anna",1850,1907
835,fk__p_38296,"Sachs, Anna",1000,1000
836,fk__p_38297,"Sacher, Anna, geb. Fuchs",1859,1930
837,fk__p_38298,"Seurat, Anna",1877,1000
838,fk__p_38299,"Siemsen, Anna",1882,1951
839,fk__p_38301,"Goldegg, Anna von",1000,1000
840,fk__p_38302,"Krane, Anna Freiin von",1853,1937
841,fk__p_38303,"W., Anna",1000,1000
842,fk__p_38304,"Werner, Anna",1881,1000
843,fk__p_38306,"Case, Jules",1856,1930
844,fk__p_38307,"Zimmermann, Annedore",1000,1000
845,fk__p_38308,"Kolb, Annette",1870,1967
846,fk__p_38309,"Frind, Annie",1900,1987
847,fk__p_38310,"Dirkens, Annie",1870,1942
848,fk__p_38312,"G., Annie",1000,1000
849,fk__p_38313,"Kalmar, Annie",1877,1901
850,fk__p_38315,"Wothe, Anny",1858,1919
851,fk__p_38316,Anonymus,1000,1000
